article_id,article_text
1,"浓眉哥”安东尼-戴维斯自从出道以来，就倍受全美球迷追捧。美国球评称他为美国内线最后的希望。浓眉也确实争气，第二个赛季就打出了场均20.8分10篮板2.8封盖的华丽数据。球迷们把浓眉选进了全明星阵容。美国媒体也毫不客气，看浓眉就像看自家孩子一样。2014-2015赛季，在浓眉入行的第三年，ESPN就把浓眉排在了自己百大球员的第三名。在他身后的有杜兰特/哈登/库里/威少，一干成名已久且当时或日后都拿到了MVP的超级巨星。
　　ESPN当时的解释是，在浓眉当时的年纪，只有勒布朗-詹姆斯和魔术师的胜利贡献值比浓眉更高。从那以后，浓眉哥在ESPN的排名就没低于过前六（期间两次被排在第二，2015年和2020年）。但是就在本赛季开始前，ESPN把浓眉排在了第九，这几乎是浓眉成名后，被媒体最看衰的一次。新科MVP约基奇，MVP排行榜第二的恩比德，率队夺冠的字母哥，都没什么争议的排在了字母哥之前。
　　浓眉哥还是全美内线最后的希望吗？考虑道其他几大内线的国籍，这么说或许没问题，美国也真没拿得出手的内线了，不然梦之队也不会召唤麦基这水平的球员了。但是如果还说浓眉是全NBA最好的内线？看完了今天雄鹿和湖人的比赛，即使是湖人球迷也沉默不语了。现在的浓眉哥，距离最强内线的称号真的是越来越远了。
　　这个赛季，湖人队交易来了威少，将19-20赛季的夺冠阵容几乎全部拆散。在引援方面湖人引进的几乎全是后卫，身高体重合格的锋线只有阿里扎一个人，1米93的贝兹莫尔都得顶到前锋位置了。年轻时候防守都不及格的安东尼都被迫在最近逼成了球队的首发大前锋。
　　这一套头重脚轻的阵容，素以防守调教起家的沃格尔也玩不转了。湖人队如今每场比赛让对方在篮下的出手是全联盟最多的，原因很简单：球队的外线防守几乎被人一步就过，四处漏风，对方的持球型锋线谁都可以轻松突破第一道锋线杀入禁区。
　　湖人队本赛季每场比赛丢112.3分已经排到了联盟第三，球队的防守效率也只是联盟第15。19-20赛季，湖人队的防守效率联盟第三；上个赛季，湖人防守效率联盟第一。本赛季，哪怕有戴维斯这么个最佳防守球员级别的内线大闸在，也防不住湖人到处漏人的外线了。
　　在防守端浓眉已经算拼尽全力了，可是效果却惨不忍睹：本赛季浓眉在场的时候，湖人每百回合丢109.5分；他不在场，湖人每百回合丢98分。增重以后的浓眉速率变慢，护框也没以前那么厉害了。今天字母哥上半场几乎球球都冲着浓眉去，浓眉却完全做不出有效干扰，让字母哥半场13投12中，彻底打爆了湖人禁区。
　　防守的问题不该浓眉去背锅，他已经是湖人防守最努力的球员了。可在进攻端浓眉的问题还是很大的。曾经的浓眉号称全联盟第一吃饼侠，既能挡拆顺下攻框，又能拉开空间杵在外线百步穿杨。能力能外，能持球能无球，在球场攻防两端影响巨大。可本赛季的浓眉呢？
　　以前的浓眉跳投虽说不算十拿九稳，那也是绝对不能放的点。可本赛季，他前27次三分出手只命中了4球，创下了NBA历史赛季前25次出手三分以上的命中率新低。今天对阵雄鹿赛前，媒体晒出数据：字母哥最近三场命中的三分数量（6记）等于浓眉整个赛季命中的三分数量（6记）。在比赛中，湖人还习惯地在外线放空字母哥，字母哥毫不客气全场三分4投3中。
　　不止在三分线外毫无杀伤，命中率堪比麦基。浓眉在中距离效率也不能算高。在中距离他79投32中，命中率只是刚过40%。从进攻方式上看，詹姆斯不在，他有太多由自己发起的进攻了。每场比赛浓眉有4.2次低位背打和2.1次面框单打。在鹈鹕时代，浓眉的得分受助攻率几乎都在70%以上，本赛季他得分的受助攻率只有57.2%，是他的生涯新低。这说明了什么？沃格尔设计的战术也很有问题，后卫没法和浓眉发动有效的配合，让浓眉能轻松吃点饼。球球让浓眉那么费劲儿的干凿？真不是浓眉的正确使用方法。
　　上个赛季哈雷尔在沃格尔手下就创下了自己场均挡拆顺下攻框数的赛季新低。手里有着哈雷尔+施罗德都不知道多打挡拆，沃格尔或许是真不知道怎么让内线打的舒服。
　　浓眉已经证明了自己是总冠军球队的二当家，可是比起约基奇，字母哥，他的带队能力确实差的太远。可这真的能怪浓眉吗？28岁的他恐怕是学不来字母哥的冲击型打法和约基奇的策动全队了。湖人唯一能做到的，只能快点等詹姆斯回来，别再让浓眉打这么辛苦疲惫了。"
2,"北京时间11月18日，洛杉矶湖人以102-109不敌密尔沃基雄鹿。赛后，湖人主帅沃格尔谈到了霍顿-塔克。
　　沃格尔说：“塔克在过去两场比赛中都表现得很出色，即使勒布朗回来，他也有充分的理由首发出战”。
　　“在替补席上，塔克也有得分和组织的任务，但是现在的塔克足够优秀，他也可以获得首发的位置”。
　　此役，塔克出战38分58秒，18投9中得到了25分12篮板3助攻2抢断。在上一场比赛中，塔克得到了职业生涯最高的28分。
　　值得一提的是，在下一场比赛中，詹姆斯还未确定是否出战。"
3,"北京时间11月18日，密尔沃基雄鹿以109-102战胜了洛杉矶湖人，字母哥在今天的比赛中23投18中，三分球 4投3中，砍下47分9篮板。因此，美媒统计了关于字母哥的一项数据，他也成为了马布里之后能够砍下这项数据的第一人。
　　根据数据统计，在今天的比赛中，字母哥轰下了45分且命中率达到75%以上。因此，字母哥成为了马布里在2005年对阵湖人的比赛之后，首位能够对阵湖人的时候砍下45+分且命中率75+%的球员。
　　最终，在字母哥的带领下，雄鹿有惊无险在主场战胜了湖人。"
4,"北京时间11月18日，密尔沃基雄鹿以109-102战胜了洛杉矶湖人。此役，字母哥23投18中，三分球 4投3中，砍下47分9篮板。同时，美媒统计了一项字母哥与浓眉哥的数据对比。
　　根据数据统计，字母哥在最近3场比赛中投进了6记三分球，这和浓眉哥本赛季以来一共投进6记三分球一样多。
　　因此，相比起字母哥的出色状态，浓眉哥在本赛季以来的状态一般，而本场比赛浓眉哥则是15投9中，贡献了18分9板4助2帽的数据。其中，浓眉哥的三分球1投0中。"
5,"北京时间11月18日，湖人败给雄鹿，拉塞尔-威斯布鲁克表现不是特别抢眼，但失误赛季第二少，助攻赛季最高。
　　威斯布鲁克全场16投7中，得了19分、15次助攻和4个篮板。
　　从数据看，并不是赛季最出色的，但全场只有3次失误，这是巨大的进步。
　　此前的比赛，威少一直以失误多出名，最多一场甚至上双。此外还有9次、8次和7次。
　　只有一场，他失误2次，为赛季最低。还有两次失误3次，今天是第三次。
　　在詹姆斯缺阵的情况下，威斯布鲁克成为场上的主要控球者。今天他表现其实不错，三分球5投2中，也算正常发挥。
　　湖人与阵容整齐的卫冕冠军雄鹿能打得难解难分。等詹姆斯等人复出后，他们还是能给人希望。
　　在今天的比赛中，威斯布鲁克15次助攻是本赛季最高。此前他最多助攻14次。
　　威少似乎正在适应新的角色，这对湖人来说是个好消息。"
6,"北京时间11月18日，篮网主场以109-99击败了骑士。
　　篮网胜得很艰难。全队4人得了20分以上，哈登27分、10个篮板和7次助攻，杜兰特23分，帕蒂-米尔斯首发，得了21分。
　　替补出场的阿尔德里奇得了24分7个篮板。
　　骑士命中率只有39.3%，三分球44投仅11中。里奇-卢比奥得了25分5次助攻，达柳斯-加兰24分、6次助攻和5个篮板。
　　凯文-勒夫复出，得了11分9个篮板，奥斯曼11分。
　　探花秀莫布利和贾里特-阿伦等人缺阵。"
7,"北京时间11月18日，美媒StatMuse连续晒出金州勇士的数据并且证明球队已经是今年的夺冠大热门，具体情况如下：
　　本赛季赛季至今，勇士的防守排名联盟第一，进攻位居联盟第二。自从三分时代（1980年）以来，只有三支球队在攻防效率上都排在前两位，他们最终都拿到了总冠军。
　　这三支球队分别是2017年的勇士、2015年的勇士和1996年的公牛。
　　值得一提的是，在2017年，勇士的进攻第一防守第二，他们在常规赛取得67胜15负的战绩，最终4-1击败骑士夺冠。
　　而2015年的勇士，进攻第二防守第一，他们在常规赛同样取得67胜15负的战绩，最终4-2击败骑士夺冠；1996年的公牛，进攻第一防守也是第一，球队在常规赛取得72胜10负的战绩，最终4-2击败超音速（雷霆前身）夺冠。"
8,"北京时间11月18日，亚特兰大老鹰队在主场以110比99取得胜利，本场比赛老鹰队球星特雷-杨拿到了18分外加11次助攻，成为球队取胜的关键球员。
　　特雷-杨虽然今天手感不是特别顺，但是他的持球威胁带给对手的冲击力，牵制了很多防守精力。全场比赛特雷-杨送出了11次助攻，这是他本赛季第7次得分和助攻同时上双的比赛，是本赛季达成此成就最多的球员。
　　上个赛季入选全明星的特雷-杨，还带领球队杀入到了分区决赛。本赛季已经确立球队核心位置的吹杨，场均能够贡献25.3分9.1次助攻3.7个篮板，投篮命中率保持在45.1%，投篮效率值达到了生涯新高。"
9,"北京时间11月18日，亚特兰大老鹰队主场以110比99赢下比赛，取得了三连胜。本场比赛赢下之后，球队的主场战绩来到了6胜1负。
　　数据统计显示，从上个赛季到今天的比赛结束，老鹰队已经连续13次在主场战胜东部球队，这是球队自1996-97赛季之后，主场连胜东部球队的最长纪录。
　　在1996-97赛季时老鹰队当时连续在主场赢东部球队场次达到了15场，当个赛季老鹰队取得了常规赛第二的战绩，季后赛中球队杀入到了分区半决赛。"
10,"北京时间11月18日，独行侠大将卢卡-东契奇缺阵，他们在客场败给了太阳。
　　东契奇上一场比赛受伤，虽然不是很严重，坚持打完了比赛，但为了谨慎起见，独行侠今天让他休息。
　　“东契奇正在接受治疗，我们明天再看看情况吧，”主帅基德说，据他透露，东契奇左踝和膝盖轻微受伤。
　　少了东契奇，波尔津吉斯得了21分，而哈达威得了22分，他们以98-105败给太阳。
　　独行侠已经很努力，前三节还领先5分，但最后一节丢了37分，遭到翻盘。
　　独行侠最后一节打得本来就不好，再加上少了东契奇，更是雪上加霜。"